void	20
keywords_and_op_check	IDENTIFIER
()	PUNCTUATORS
{	PUNCTUATORS
unsigned	6
int	16
num	IDENTIFIER
=	PUNCTUATORS
10	CONSTANT
;	PUNCTUATORS
signed	12
int	16
i	IDENTIFIER
;	PUNCTUATORS
Bool	13
B	IDENTIFIER
=	PUNCTUATORS
1	CONSTANT
;	PUNCTUATORS
char	21
*	PUNCTUATORS
s1	IDENTIFIER
=	PUNCTUATORS
'comp'	CONSTANT
;	PUNCTUATORS
char	21
*	PUNCTUATORS
s2	IDENTIFIER
=	PUNCTUATORS
"parse"	STRING_LITERAL
;	PUNCTUATORS
switch	26
(	PUNCTUATORS
x	IDENTIFIER
)	PUNCTUATORS
{	PUNCTUATORS
case	9
1	CONSTANT
:	PUNCTUATORS
a	IDENTIFIER
=	PUNCTUATORS
1	CONSTANT
;	PUNCTUATORS
break	8
;	PUNCTUATORS
case	9
2	CONSTANT
:	PUNCTUATORS
a	IDENTIFIER
=	PUNCTUATORS
2	CONSTANT
;	PUNCTUATORS
break	8
;	PUNCTUATORS
case	9
3	CONSTANT
:	PUNCTUATORS
a	IDENTIFIER
=	PUNCTUATORS
3	CONSTANT
;	PUNCTUATORS
break	8
;	PUNCTUATORS
default	25
:	PUNCTUATORS
a	IDENTIFIER
=	PUNCTUATORS
1	CONSTANT
;	PUNCTUATORS
}	PUNCTUATORS
float	10
f1	IDENTIFIER
=	PUNCTUATORS
1.2e3	CONSTANT
;	PUNCTUATORS
float	10
f2	IDENTIFIER
=	PUNCTUATORS
-2E-2	CONSTANT
;	PUNCTUATORS
short	22
int	16
d	IDENTIFIER
=	PUNCTUATORS
4	CONSTANT
;	PUNCTUATORS
char	21
c_c	IDENTIFIER
=	PUNCTUATORS
'a'	CONSTANT
;	PUNCTUATORS
for	11
(	PUNCTUATORS
i	IDENTIFIER
=	PUNCTUATORS
1	CONSTANT
;	PUNCTUATORS
(	PUNCTUATORS
i	IDENTIFIER
<	PUNCTUATORS
num	IDENTIFIER
)	PUNCTUATORS
&&	PUNCTUATORS
(	PUNCTUATORS
num	IDENTIFIER
!=	PUNCTUATORS
1	CONSTANT
)	PUNCTUATORS
;	PUNCTUATORS
++	PUNCTUATORS
i	IDENTIFIER
)	PUNCTUATORS
{	PUNCTUATORS
A	IDENTIFIER
[	PUNCTUATORS
i	IDENTIFIER
]	PUNCTUATORS
=	PUNCTUATORS
i	IDENTIFIER
;	PUNCTUATORS
if	7
(	PUNCTUATORS
i	IDENTIFIER
>=	PUNCTUATORS
1	CONSTANT
)	PUNCTUATORS
continue	14
;	PUNCTUATORS
else	18
break	8
;	PUNCTUATORS
}	PUNCTUATORS
for	11
(	PUNCTUATORS
;	PUNCTUATORS
;	PUNCTUATORS
)	PUNCTUATORS
{	PUNCTUATORS
b	IDENTIFIER
=	PUNCTUATORS
5	CONSTANT
;	PUNCTUATORS
}	PUNCTUATORS
if	7
(	PUNCTUATORS
i	IDENTIFIER
==	PUNCTUATORS
9	CONSTANT
)	PUNCTUATORS
i	IDENTIFIER
=	PUNCTUATORS
i	IDENTIFIER
%	PUNCTUATORS
11	CONSTANT
;	PUNCTUATORS
else	18
if	7
(	PUNCTUATORS
i	IDENTIFIER
>=	PUNCTUATORS
11	CONSTANT
)	PUNCTUATORS
i	IDENTIFIER
%=	PUNCTUATORS
5	CONSTANT
;	PUNCTUATORS
i	IDENTIFIER
=	PUNCTUATORS
num	IDENTIFIER
-	PUNCTUATORS
i	IDENTIFIER
;	PUNCTUATORS
do	15
{	PUNCTUATORS
a	IDENTIFIER
++	PUNCTUATORS
;	PUNCTUATORS
b	IDENTIFIER
--	PUNCTUATORS
;	PUNCTUATORS
c	IDENTIFIER
+=	PUNCTUATORS
a	IDENTIFIER
;	PUNCTUATORS
i	IDENTIFIER
--	PUNCTUATORS
;	PUNCTUATORS
}	PUNCTUATORS
while	23
(	PUNCTUATORS
i	IDENTIFIER
!=	PUNCTUATORS
1	CONSTANT
||	PUNCTUATORS
(	PUNCTUATORS
num	IDENTIFIER
!=	PUNCTUATORS
1	CONSTANT
)	PUNCTUATORS
)	PUNCTUATORS
;	PUNCTUATORS
a	IDENTIFIER
=	PUNCTUATORS
b	IDENTIFIER
+	PUNCTUATORS
c	IDENTIFIER
;	PUNCTUATORS
b	IDENTIFIER
=	PUNCTUATORS
c	IDENTIFIER
*	PUNCTUATORS
a	IDENTIFIER
;	PUNCTUATORS
c	IDENTIFIER
=	PUNCTUATORS
a	IDENTIFIER
/	PUNCTUATORS
b	IDENTIFIER
;	PUNCTUATORS
a	IDENTIFIER
=	PUNCTUATORS
c	IDENTIFIER
/	PUNCTUATORS
2	CONSTANT
;	PUNCTUATORS
b	IDENTIFIER
-=	PUNCTUATORS
5	CONSTANT
;	PUNCTUATORS
c	IDENTIFIER
/=	PUNCTUATORS
10	CONSTANT
;	PUNCTUATORS
c	IDENTIFIER
=	PUNCTUATORS
c	IDENTIFIER
^	PUNCTUATORS
b	IDENTIFIER
;	PUNCTUATORS
b	IDENTIFIER
=	PUNCTUATORS
b	IDENTIFIER
|	PUNCTUATORS
d	IDENTIFIER
;	PUNCTUATORS
a	IDENTIFIER
^=	PUNCTUATORS
d	IDENTIFIER
;	PUNCTUATORS
c	IDENTIFIER
|=	PUNCTUATORS
d	IDENTIFIER
;	PUNCTUATORS
b	IDENTIFIER
&=	PUNCTUATORS
d	IDENTIFIER
;	PUNCTUATORS
return	19
;	PUNCTUATORS
}	PUNCTUATORS
